"Drug","Conc","Time","DE_GWAS","DE_nonGWAS","nonDE_GWAS","nonDE_nonGWAS","OR","pval","Signif"
"CX","0.1","24",1,204,29,14045,2.37377481613408,0.352261648601695,""
"CX","0.1","3",0,1,30,14248,0,1,""
"CX","0.1","48",2,316,28,13933,3.14890953001079,0.143362948628714,""
"CX","0.5","24",2,276,28,13973,3.61526516075067,0.115180433850648,""
"CX","0.5","3",0,2,30,14247,0,1,""
"CX","0.5","48",3,367,27,13882,4.20198133567899,0.0418041314052922,"*"
"DOX","0.1","24",13,5051,17,9198,1.39246275479552,0.444921443683375,""
"DOX","0.1","3",0,2,30,14247,0,1,""
"DOX","0.1","48",11,3450,19,10799,1.81207100286681,0.13339134752916,""
"DOX","0.5","24",27,9801,3,4448,4.08459685293347,0.00980659740885347,"**"
"DOX","0.5","3",3,530,27,13719,2.87572893459448,0.0999247148632936,""
"DOX","0.5","48",24,10104,6,4145,1.64090700550286,0.319954308276461,""
