"Drug","Conc","Time","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",0.584774470730738,0.0146127941021861,3.3594054526469,1,"","CX_0.1"
"CX","0.1","3",0,0,4361.44543525326,1,"","CX_0.1"
"CX","0.1","48",0.755413826907394,0.0900120967891831,2.813850697596,1,"","CX_0.1"
"CX","0.5","24",1.31721785841127,0.26606861023097,3.98776186662592,0.501668695816813,"","CX_0.5"
"CX","0.5","3",0,0,638.515957700674,1,"","CX_0.5"
"CX","0.5","48",1.32246868008334,0.352374291258799,3.50888930905274,0.551491566677424,"","CX_0.5"
"DOX","0.1","24",1.04364896006653,0.698967074466205,1.54100077665256,0.846966329484744,"","DOX_0.1"
"DOX","0.1","3",0,0,638.515957700674,1,"","DOX_0.1"
"DOX","0.1","48",1.0186375686513,0.644513075778103,1.56758623733277,0.914322282454106,"","DOX_0.1"
"DOX","0.5","24",1.53128379798081,0.985519554855654,2.45189468159396,0.0574911773398259,"","DOX_0.5"
"DOX","0.5","3",1.88890207454497,0.791379411946604,3.8817366086973,0.0852794687290711,"","DOX_0.5"
"DOX","0.5","48",1.1023421523642,0.72548340626071,1.712914370513,0.684845901473823,"","DOX_0.5"
