"Drug","Conc","Time","DE_Risk","DE_nonRisk","nonDE_Risk","nonDE_nonRisk","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",1,204,71,14003,0.966793185694921,0.0240250095284862,5.62403303489497,1,"","CX_0.1"
"CX","0.1","3",0,1,72,14206,0,0,6869.55930462227,1,"","CX_0.1"
"CX","0.1","48",1,317,71,13890,0.617157071983665,0.0153624766229924,3.57671979005164,1,"","CX_0.1"
"CX","0.5","24",1,277,71,13930,0.708307124341664,0.0176236249212234,4.10879867701305,1,"","CX_0.5"
"CX","0.5","3",0,2,72,14205,0,0,1028.82405545757,1,"","CX_0.5"
"CX","0.5","48",1,369,71,13838,0.528204167026765,0.0131566474447412,3.05810534172571,1,"","CX_0.5"
"DOX","0.1","24",31,5033,41,9174,1.37810987258524,0.834495526518755,2.25506916094389,0.176722387232054,"","DOX_0.1"
"DOX","0.1","3",0,2,72,14205,0,0,1028.82405545757,1,"","DOX_0.1"
"DOX","0.1","48",21,3440,51,10767,1.28877504106439,0.735206887591927,2.18467320545968,0.335043840955974,"","DOX_0.1"
"DOX","0.5","24",50,9778,22,4429,1.02946839946729,0.611142226327947,1.78744232053326,1,"","DOX_0.5"
"DOX","0.5","3",2,531,70,13676,0.735873397114774,0.0871666641555374,2.77266516931761,1,"","DOX_0.5"
"DOX","0.5","48",49,10079,23,4128,0.87257022485825,0.520787631406689,1.50264810875763,0.603450456414108,"","DOX_0.5"
