"Drug","Conc","Time","DE_Risk","DE_nonRisk","nonDE_Risk","nonDE_nonRisk","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",2,203,405,13669,0.332534394696405,0.0398630143909397,1.22472647481963,0.134517224438545,"","CX_0.1"
"CX","0.1","3",0,1,407,13871,0,0,1302.23143368847,1,"","CX_0.1"
"CX","0.1","48",7,311,400,13561,0.763088375530648,0.302275168623021,1.60601128618346,0.608994122242481,"","CX_0.1"
"CX","0.5","24",4,274,403,13598,0.492595441928584,0.132610723794402,1.28566140170111,0.199743206400623,"","CX_0.5"
"CX","0.5","3",0,2,407,13870,0,0,181.756180886759,1,"","CX_0.5"
"CX","0.5","48",6,364,401,13508,0.555270233978471,0.201233517004833,1.23124547891162,0.202044388452189,"","CX_0.5"
"DOX","0.1","24",151,4913,256,8959,1.07559066789633,0.871034835123412,1.32455535372626,0.494563848396561,"","DOX_0.1"
"DOX","0.1","3",0,2,407,13870,0,0,181.756180886759,1,"","DOX_0.1"
"DOX","0.1","48",114,3347,293,10525,1.22350460224451,0.973176714901378,1.52975615246397,0.0781518219484879,"","DOX_0.1"
"DOX","0.5","24",303,9525,104,4347,1.32965767826354,1.05746453184103,1.6827620136263,0.0125060037636777,"*","DOX_0.5"
"DOX","0.5","3",22,511,385,13361,1.49403207103995,0.916998673965364,2.32052798180191,0.0826984207492553,"","DOX_0.5"
"DOX","0.5","48",313,9815,94,4057,1.37638213452746,1.08622026395907,1.75739815287099,0.00662391670161789,"**","DOX_0.5"
