"GeneSymbol","Entrez_ID"
"SLC9B1","150159"
"IDUA","3425"
"FGFRL1","53834"
"HAND2","9464"
"ARHGAP10","79658"
"PANCR","110231149"
"MIR297","100126354"
"LINC01438","106144527"
"GSDMB","55876"
"KCNN2","3781"
"AKAP6","9472"
"SNRNP27","11017"
"GMCL1","64395"
"SUN1","23353"
"HOTTIP","100316868"
"SUGP1","57794"
"SCN10A","6336"
"ARMH3","79591"
"LPA","4018"
"LRMDA","83938"
"GJA5","2702"
"FAM13B","51306"
"CAV1","857"
"SPON1","10418"
"SH3PXD2A","9644"
"ZNF689","115509"
"NAV2","89797"
"PTGES3","10728"
"RBM20","282996"
"PPFIA4","8497"
"PSMB7","5695"
"ADGRD2","347088"
"HIP1R","9026"
"FGD5","152273"
"RFX4","5992"
"FBRSL1","57666"
"ELOVL3","83401"
"PITX3","5309"
"TOMM22P5","390007"
"CACUL1","143384"
"RAD9A","5883"
"LINC01681","105371609"
"PHLDB2","90102"
"PLCXD2","257068"
"AOPEP","84909"
"JMJD1C","221037"
"CTNNA3","29119"
"SYNPO2L","79933"
"RHOG","391"
"KNOP1P1","100129937"
"RN7SL38P","106480932"
"APOLD1","81575"
"CRADD","8738"
"LINC01629","105370578"
"LINC02289","102724190"
"OR7E161P","389626"
"DEFB136","613210"
"MROH9","80133"
"PRRX1","5396"
"SPATS2L","26010"
"DDX18P3","442164"
"MPPED2","744"
"PRDM11","56981"
"ACAD10","80724"
"PTPN11","5781"
"TBX5","6910"
"RN7SKP250","106479206"
"MVK","4598"
"FTO","79068"
"LINC02869","440714"
"FGF5","2250"
"PRDM8","56978"
"KCND3","3752"
"PFKFB2","5208"
"USP34","9736"
"RNA5SP214","100873474"
"VGLL2","245806"
"SNORA70","26778"
"RN7SL734P","106479490"
"CPEB4","80315"
"UBA52P7","100128617"
"SIL1","64374"
"NOL12","79159"
"TRIOBP","11078"
"PITX2","5308"
"KCNN3","3782"
"PMVK","10654"
"MIR3149","100422921"
"ZFHX4","79776"
"ATXN1","6310"
"SSPN","8082"
"RN7SL569P","106481077"
"RNY4","6086"
"GYPC","2995"
"GJA8","2703"
"RPL36AP23","729075"
"LINC02945","123464519"
"ESR2","2100"
"SYNE2","23224"
"CCDC7","79741"
"PSMD2","5708"
"TES","26136"
"AGBL4","84871"
"THRAP3","9967"
"OBSCN","84033"
"NEURL1","9148"
"TMT1B","196410"
"PSMB3P1","121131"
"DLEC1","9940"
"NRBF2","29982"
"LINC02775","105372911"
"ZPBP2","124626"
"TEX41","401014"
"POLR2M","81488"
"ALDH1A2","8854"
"DNMT3A","1788"
"LRRFIP1","9208"
"NR3C1","2908"
"MIR4302","100422897"
"CDK6","1021"
"PLEC","5339"
"PTCH1","5727"
"TAB2","23118"
"UST","10090"
"CRAMP1","57585"
"MICU2","221154"
"CFL2","1073"
"RPL12P6","440176"
"BICRA","29998"
"CAMK2D","817"
"CAV2","858"
"IGFBP3","3486"
"FTLP15","442304"
"PTK2","5747"
"ESRRG","2104"
