"Sample","a","b","c","d","OR","Lower_CI","Upper_CI","Pval","Stars"
"CX_0.1_3",0,1,68,14210,0,0,7229.81899697579,1,""
"CX_0.1_24",8,197,60,14014,9.47893644721581,3.86268939614072,20.258614857749,5.56211970177517e-06,"***"
"CX_0.1_48",10,308,58,13903,7.78034217046425,3.51102542842473,15.5385058502542,2.41284377195033e-06,"***"
"CX_0.5_3",0,2,68,14209,0,0,1120.30898521527,1,""
"CX_0.5_24",11,267,57,13944,10.071299278848,4.70843686966332,19.6836364705455,7.16918448957514e-08,"***"
"CX_0.5_48",14,356,54,13855,10.0872152448583,5.12329732737775,18.618083963335,1.66875701940063e-09,"***"
"DOX_0.1_3",0,2,68,14209,0,0,1120.30898521527,1,""
"DOX_0.1_24",41,5023,27,9188,2.77744632811586,1.66571260753885,4.70125864142564,3.42097935406778e-05,"***"
"DOX_0.1_48",38,3423,30,10788,3.99134832978012,2.40417139001712,6.68110423317884,2.73761592506129e-08,"***"
"DOX_0.5_3",3,530,65,13681,1.19136137146647,0.238697057646986,3.65812879339118,0.74183459070967,""
"DOX_0.5_24",56,9772,12,4439,2.11977154734735,1.12175017805148,4.34935069625642,0.0174171839007898,"*"
"DOX_0.5_48",54,10074,14,4137,1.58396385057608,0.866513009522788,3.09138256789383,0.141019311098153,""
