"Sample","Category","Count","Proportion"
"CX_0.1_3","DDR DEGs",0,0
"CX_0.1_3","Other DEGs",1,100
"CX_0.1_24","DDR DEGs",8,3.90243902439024
"CX_0.1_24","Other DEGs",197,96.0975609756098
"CX_0.1_48","DDR DEGs",10,3.14465408805031
"CX_0.1_48","Other DEGs",308,96.8553459119497
"CX_0.5_3","DDR DEGs",0,0
"CX_0.5_3","Other DEGs",2,100
"CX_0.5_24","DDR DEGs",11,3.9568345323741
"CX_0.5_24","Other DEGs",267,96.0431654676259
"CX_0.5_48","DDR DEGs",14,3.78378378378378
"CX_0.5_48","Other DEGs",356,96.2162162162162
"DOX_0.1_3","DDR DEGs",0,0
"DOX_0.1_3","Other DEGs",2,100
"DOX_0.1_24","DDR DEGs",41,0.809636650868878
"DOX_0.1_24","Other DEGs",5023,99.1903633491311
"DOX_0.1_48","DDR DEGs",38,1.09794856977752
"DOX_0.1_48","Other DEGs",3423,98.9020514302225
"DOX_0.5_3","DDR DEGs",3,0.562851782363977
"DOX_0.5_3","Other DEGs",530,99.437148217636
"DOX_0.5_24","DDR DEGs",56,0.56980056980057
"DOX_0.5_24","Other DEGs",9772,99.4301994301994
"DOX_0.5_48","DDR DEGs",54,0.533175355450237
"DOX_0.5_48","Other DEGs",10074,99.4668246445498
