"Drug","Conc","Time","DE_DDR","DE_nonDDR","nonDE_DDR","nonDE_nonDDR","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",8,197,60,14014,9.47893644721581,3.86268939614073,20.258614857749,5.56211970177517e-06,"***","CX_0.1"
"CX","0.1","3",0,1,68,14210,0,0,7229.81899697579,1,"","CX_0.1"
"CX","0.1","48",10,308,58,13903,7.78034217046425,3.51102542842473,15.5385058502542,2.41284377195033e-06,"***","CX_0.1"
"CX","0.5","24",11,267,57,13944,10.071299278848,4.70843686966332,19.6836364705455,7.16918448957518e-08,"***","CX_0.5"
"CX","0.5","3",0,2,68,14209,0,0,1120.30898521527,1,"","CX_0.5"
"CX","0.5","48",14,356,54,13855,10.0872152448583,5.12329732737775,18.6180839633349,1.66875701940064e-09,"***","CX_0.5"
"DOX","0.1","24",41,5023,27,9188,2.77744632811585,1.66571260753885,4.70125864142564,3.4209793540678e-05,"***","DOX_0.1"
"DOX","0.1","3",0,2,68,14209,0,0,1120.30898521527,1,"","DOX_0.1"
"DOX","0.1","48",38,3423,30,10788,3.99134832978012,2.40417139001712,6.68110423317883,2.73761592506129e-08,"***","DOX_0.1"
"DOX","0.5","24",56,9772,12,4439,2.11977154734735,1.12175017805148,4.34935069625641,0.0174171839007899,"*","DOX_0.5"
"DOX","0.5","3",3,530,65,13681,1.19136137146647,0.238697057646986,3.65812879339118,0.74183459070967,"","DOX_0.5"
"DOX","0.5","48",54,10074,14,4137,1.58396385057608,0.866513009522788,3.09138256789383,0.141019311098153,"","DOX_0.5"
