"Drug","Conc","Time","DE_Risk","DE_nonRisk","nonDE_Risk","nonDE_nonRisk","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",0,205,25,14049,0,0,10.9896847271105,1,"","CX_0.1"
"CX","0.1","3",0,1,25,14253,0,0,16383.9999999404,1,"","CX_0.1"
"CX","0.1","48",0,318,25,13936,0,0,7.00538990567227,1,"","CX_0.1"
"CX","0.5","24",0,278,25,13976,0,0,8.0405175083872,1,"","CX_0.5"
"CX","0.5","3",0,2,25,14252,0,0,3214.08129603325,1,"","CX_0.5"
"CX","0.5","48",0,370,25,13884,0,0,5.99304972256125,1,"","CX_0.5"
"DOX","0.1","24",12,5052,13,9202,1.6813571027068,0.700617699471829,3.99958414447756,0.211299737588368,"","DOX_0.1"
"DOX","0.1","3",0,2,25,14252,0,0,3214.08129603325,1,"","DOX_0.1"
"DOX","0.1","48",6,3455,19,10799,0.987034856352657,0.322371908660296,2.57319072014002,1,"","DOX_0.1"
"DOX","0.5","24",18,9810,7,4444,1.16485431478962,0.463807402473964,3.30219042347237,0.831514293773201,"","DOX_0.5"
"DOX","0.5","3",0,533,25,13721,0,0,4.10651428863128,1,"","DOX_0.5"
"DOX","0.5","48",18,10110,7,4144,1.05400180567285,0.419670160529085,2.98785939954563,1,"","DOX_0.5"
