"Drug","Conc","Time","DE_Heart","DE_nonHeart","nonDE_Heart","nonDE_nonHeart","OR","Lower_CI","Upper_CI","Pval","Stars","Label"
"CX","0.1","24",0,205,352,13722,0,0,0.711637321122372,0.010714634250944,"*","CX_0.1"
"CX","0.1","3",0,1,352,13926,0,0,1506.7440441275,1,"","CX_0.1"
"CX","0.1","48",0,318,352,13609,0,0,0.453561673765475,0.000679143516034555,"***","CX_0.1"
"CX","0.5","24",1,277,351,13650,0.140376591523375,0.00353543642776077,0.793980355198142,0.0166199205620783,"*","CX_0.5"
"CX","0.5","3",0,2,352,13925,0,0,211.048385065059,1,"","CX_0.5"
"CX","0.5","48",0,370,352,13557,0,0,0.387990489804358,0.000217751436957513,"***","CX_0.5"
"DOX","0.1","24",152,4912,200,9015,1.39474129070557,1.11874430688802,1.73619638523428,0.0027415863835136,"**","DOX_0.1"
"DOX","0.1","3",0,2,352,13925,0,0,211.048385065059,1,"","DOX_0.1"
"DOX","0.1","48",119,3342,233,10585,1.61755461396198,1.28145168164698,2.03321788983225,4.01545835030563e-05,"***","DOX_0.1"
"DOX","0.5","24",266,9562,86,4365,1.41193318892163,1.1000746004999,1.82721014757393,0.00515466417970337,"**","DOX_0.5"
"DOX","0.5","3",6,527,346,13400,0.440947546896664,0.159955490870676,0.976209022594615,0.0444565068084429,"*","DOX_0.5"
"DOX","0.5","48",309,9819,43,4108,3.00616379613907,2.17486807658558,4.24775439484636,3.09906916733508e-14,"***","DOX_0.5"
